treatment,richness,composition,temperature,nutrients,species,replicate,sample_ID
Tmp_18_21_Nut0.75,3,CLP,18-21 ,0.75,Colp_Loxo_Para,2,CLP_Tmp_18_21_Nut0.75_2
Tmp_18_21_Nut0.01,2,DP,18-21 ,0.01,Dexio_Para,2,DP_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut0.75,3,CLP,18-21 ,0.75,Colp_Loxo_Para,1,CLP_Tmp_18_21_Nut0.75_1
Tmp_18_21_Nut0.01,4,CLPS,18-21 ,0.01,Colp_Loxo_Para_Spiro,2,CLPS_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut3,4,CDLP,18-21 ,3,Colp_Dexio_Loxo_Para,1,CDLP_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,3,DLP,18-21 ,3,Dexio_Loxo_Para,3,DLP_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,2,CS,18-21 ,3,Colp_Spiro,1,CS_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,4,CLPS,18-21 ,3,Colp_Loxo_Para_Spiro,1,CLPS_Tmp_18_21_Nut3_1
Tmp_18_21_Nut0.75,2,LS,18-21 ,0.75,Loxo_Spiro,2,LS_Tmp_18_21_Nut0.75_2
Tmp_18_21_Nut3,3,DLP,18-21 ,3,Dexio_Loxo_Para,1,DLP_Tmp_18_21_Nut3_1
Tmp_18_21_Nut0.75,2,LP,18-21 ,0.75,Loxo_Para,1,LP_Tmp_18_21_Nut0.75_1
Tmp_18_21_Nut0.75,4,CDPS,18-21 ,0.75,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_18_21_Nut0.75_3
Tmp_18_21_Nut0.75,2,LS,18-21 ,0.75,Loxo_Spiro,3,LS_Tmp_18_21_Nut0.75_3
Tmp_18_21_Nut0.01,3,CLS,18-21 ,0.01,Colp_Loxo_Spiro,1,CLS_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut0.01,3,DPS,18-21 ,0.01,Dexio_Para_Spiro,1,DPS_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut3,4,CDLP,18-21 ,3,Colp_Dexio_Loxo_Para,3,CDLP_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,2,DS,18-21 ,3,Dexio_Spiro,3,DS_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,4,CLPS,18-21 ,3,Colp_Loxo_Para_Spiro,2,CLPS_Tmp_18_21_Nut3_2
Tmp_18_21_Nut0.01,4,CDLS,18-21 ,0.01,Colp_Dexio_Loxo_Spiro,1,CDLS_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut3,3,LPS,18-21 ,3,Loxo_Para_Spiro,1,LPS_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,3,DLP,18-21 ,3,Dexio_Loxo_Para,2,DLP_Tmp_18_21_Nut3_2
Tmp_18_21_Nut0.75,4,CDLP,18-21 ,0.75,Colp_Dexio_Loxo_Para,3,CDLP_Tmp_18_21_Nut0.75_3
Tmp_18_21_Nut0.75,3,CDP,18-21 ,0.75,Colp_Dexio_Para,1,CDP_Tmp_18_21_Nut0.75_1
Tmp_18_21_Nut3,4,CDLP,18-21 ,3,Colp_Dexio_Loxo_Para,2,CDLP_Tmp_18_21_Nut3_2
Tmp_18_21_Nut0.75,3,CDL,18-21 ,0.75,Colp_Dexio_Loxo,3,CDL_Tmp_18_21_Nut0.75_3
Tmp_18_21_Nut0.01,3,DPS,18-21 ,0.01,Dexio_Para_Spiro,3,DPS_Tmp_18_21_Nut0.01_3
Tmp_18_21_Nut0.01,4,CDPS,18-21 ,0.01,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_18_21_Nut0.01_3
Tmp_18_21_Nut0.75,4,CDLP,18-21 ,0.75,Colp_Dexio_Loxo_Para,2,CDLP_Tmp_18_21_Nut0.75_2
